TweetID,HandLabel,AnnotatorID
76329940024328192,Neutral,33
82147146129768448,Neutral,33
424146861478653952,Positive,23
424147023495827456,Positive,7
424147257839988736,Negative,7
424147542343823360,Negative,23
424147727958564865,Neutral,23
424147959417434112,Neutral,23
424148192150560768,Neutral,23
424148192150560768,Negative,33
424148305619058689,Positive,23
424148453027885056,Positive,33
424148534666231808,Neutral,33
424149243168034816,Neutral,7
424149243168034816,Neutral,33
424149574798671872,Neutral,7
424149870690045952,Neutral,23
424149870690045952,Positive,33
424150048612417537,Neutral,23
424150048612417537,Neutral,33
424150131706167296,Negative,33
424150131706167296,Neutral,23
424150332742975489,Neutral,23
424150332742975489,Negative,33
424150610070753280,Positive,23
424150767885627392,Neutral,33
424151243607801856,Positive,23
424151432871170049,Neutral,7
424151859155070977,Negative,7
424152175598919680,Neutral,23
424152280703565824,Neutral,23
424152280703565824,Neutral,33
424152324102455296,Neutral,23
424152533754335232,Neutral,23
424152573386305536,Positive,33
424152573386305536,Neutral,23
424152688205381632,Neutral,33
424152869298638848,Negative,33
424153109125156864,Negative,7
424153340302618624,Negative,7
424153617118294016,Neutral,23
424153794364968960,Positive,23
424154150423646208,Positive,33
424154150423646208,Neutral,23
424154463759519745,Neutral,23
424154463759519745,Positive,33
424154604117692417,Positive,33
424154909743644672,Negative,33
424155153915461632,Neutral,23
424155448716308480,Negative,33
424155448716308480,Negative,7
424156315489796096,Positive,23
424156476308197376,Positive,23
424156476308197376,Positive,33
424156618398265344,Neutral,23
424156989049307136,Neutral,33
424157085262028800,Neutral,33
424157303680417792,Positive,7
424157438703861760,Neutral,7
424157438703861760,Neutral,33
424157498036088833,Neutral,23
424157641531604992,Neutral,23
424157793524789248,Neutral,23
424158097238540289,Neutral,23
424158541725700096,Positive,33
424158725171990529,Positive,33
424158883133669376,Negative,33
424158883133669376,Negative,7
424159447108562944,Neutral,7
424159713056817152,Neutral,23
424160311722389504,Negative,33
424160672386015234,Neutral,23
424161133050605568,Neutral,23
424161491894677504,Neutral,23
424161743674564608,Neutral,33
424161853900484609,Neutral,33
424162129583697920,Positive,23
424162257028001792,Negative,7
424162365035544576,Neutral,7
424162724088938496,Negative,23
424163045389004800,Neutral,23
424163252382085123,Neutral,33
424163252382085123,Neutral,23
424163414894587905,Negative,33
424163685989240832,Positive,33
424163888280907776,Positive,33
424164213343678465,Neutral,23
424164382633775105,Positive,7
424164665229185024,Negative,7
424164917084966912,Positive,23
424165258312183808,Neutral,23
424165258312183808,Neutral,33
424165811071500288,Positive,23
424166161081987072,Neutral,23
424166374886621184,Positive,33
424166559947296768,Neutral,33
424166559947296768,Neutral,33
424166607615582208,Neutral,23
424166829204832257,Neutral,33
424166829204832257,Negative,7
424166964056297472,Neutral,7
424167219774627840,Neutral,23
424167422518915075,Negative,23
424168331726569472,Neutral,23
424168588337876993,Negative,23
424168807230636032,Neutral,33
424168861517115392,Neutral,33
424169052555055105,Positive,23
424169149787803649,Neutral,7
424169410623188992,Positive,7
424169672175415296,Neutral,23
424170149261094912,Neutral,23
424170256718770178,Positive,33
424170256718770178,Neutral,23
424170588656377856,Neutral,23
424170795154567168,Neutral,23
424171062050320384,Negative,33
424171387197349888,Positive,33
424171387197349888,Positive,33
424171522228748288,Positive,33
424171522228748288,Neutral,23
424171811728019456,Negative,7
424172162153725953,Negative,33
424172162153725953,Neutral,23
424172369067130880,Negative,23
424172520330125312,Neutral,23
424172794402725888,Neutral,23
424172984140455938,Neutral,23
424173153569345538,Negative,33
424173333765439488,Negative,33
424173565093490689,Negative,23
424173847080755200,Neutral,7
424173995760427008,Negative,7
424174246903156736,Neutral,33
424174380168802304,Neutral,23
424174630065418240,Neutral,23
424174757722853377,Neutral,23
424174949692375040,Neutral,23
424175006021869568,Positive,33
424175179049467904,Positive,33
424175321605484544,Negative,33
424175507664822273,Positive,7
424175633569050624,Negative,7
424175833604182016,Neutral,23
424176178455277569,Positive,23
424176262509101056,Positive,23
424176573088923648,Negative,23
424176604814659584,Negative,23
424176800718004224,Positive,33
424176988429893633,Neutral,33
424177141576916994,Neutral,23
424177255879675904,Neutral,7
424177603688529920,Negative,23
424177865471852544,Neutral,23
424177924065882112,Neutral,23
424177962758320129,Positive,23
424178189779214338,Positive,33
424178189779214338,Positive,23
424178213297094657,Positive,33
424178297635762176,Neutral,33
424178368607563776,Positive,23
424178738394173440,Negative,7
424178837883060225,Neutral,23
424178929432551424,Neutral,23
424178985409314818,Neutral,23
424179103231909889,Neutral,23
424179232562876417,Neutral,23
424179487581175808,Negative,33
424179729676402688,Neutral,33
424179946999672832,Neutral,23
424180012666064896,Positive,7
424180245571198977,Positive,23
424180428317392896,Neutral,23
424180428317392896,Positive,33
424180508440801280,Positive,23
424180608160772097,Neutral,23
424180710706913280,Neutral,23
424180946707812352,Negative,33
424181126836797440,Neutral,33
424181126836797440,Neutral,33
424181363735273473,Negative,23
424181363735273473,Neutral,33
424181414817714176,Negative,7
424181591888633856,Neutral,23
424181699334123520,Neutral,23
424181751410589696,Neutral,23
424181807853346816,Neutral,23
424181807853346816,Neutral,33
424181922215235584,Negative,23
424181992939585536,Neutral,33
424182039437664256,Neutral,33
424182039437664256,Neutral,33
424182188155088896,Neutral,23
424183099052658689,Positive,23
424183151699587072,Neutral,23
424183380356247552,Positive,23
424183380356247552,Positive,33
424183750855909376,Positive,33
424183750855909376,Neutral,23
424184130797309953,Positive,33
424184471987159040,Positive,33
424184647958790144,Negative,7
424185026469969920,Neutral,23
424185026469969920,Neutral,33
424185280245940224,Neutral,23
424185608698081280,Neutral,23
424185608698081280,Negative,33
424185716747550720,Negative,23
424186037665931264,Neutral,23
424186394320183297,Positive,33
424186997247582208,Positive,33
424186997247582208,Negative,23
424187549817769985,Positive,7
424187693916889090,Negative,7
424188037375873024,Positive,23
424188466273210368,Negative,23
424189036669206528,Neutral,23
424189279703932928,Neutral,23
424189831002877952,Neutral,23
424190020618960896,Negative,33
424190020618960896,Negative,33
424190163158589440,Negative,33
424190365835337728,Positive,23
424190628181053440,Neutral,7
424191023020261376,Neutral,23
424191230827044864,Neutral,23
424191300439531520,Neutral,23
424191472217620480,Neutral,23
424192203809112066,Negative,33
424192403889987584,Negative,33
424193001322061824,Negative,7
424193627540049920,Negative,23
424193680509911042,Neutral,23
424193720758464512,Neutral,23
424193720758464512,Negative,33
424194155300925440,Neutral,23
424194620356968448,Positive,33
424194791061340160,Positive,33
424195303961792512,Negative,7
424195507263930368,Positive,7
424196037658439681,Neutral,23
424196387157585920,Neutral,23
424196657660841984,Positive,23
424197094300061696,Neutral,33
424197094300061696,Negative,33
424197208846901248,Negative,33
424198247649796096,Negative,33
424198247649796096,Negative,23
424198654757724160,Neutral,23
424198935515639809,Neutral,23
424199170535063552,Neutral,23
424199170535063552,Neutral,33
424199502140960768,Negative,23
424199664003715072,Positive,33
424199919625195520,Neutral,33
424200270919524353,Positive,23
424200655729733633,Positive,7
424200687916834816,Negative,7
424201100846448641,Neutral,23
424201406229135360,Neutral,23
424201656843370496,Neutral,23
424201833939488768,Positive,23
424202010829672449,Neutral,23
424202366704156672,Positive,33
424202853700231169,Negative,23
424203003499790336,Negative,7
424203292399652864,Negative,7
424203534486495232,Neutral,23
424203629893926912,Neutral,23
424203629893926912,Negative,33
424203852330442752,Neutral,23
424204083789332480,Negative,33
424204083789332480,Negative,23
424204419321069569,Neutral,23
424204720555581441,Negative,33
424204881566507009,Negative,33
424205256042373120,Neutral,23
424205678409183232,Positive,7
424206261669068800,Negative,7
424206261669068800,Negative,33
424206453742645248,Neutral,23
424206453742645248,Neutral,33
424206869498830848,Positive,23
424207066535055360,Positive,23
424207866007146496,Neutral,33
424207866007146496,Neutral,23
424208363920973824,Negative,33
424208752862953472,Negative,33
424208752862953472,Negative,7
424209130157375488,Neutral,7
424209455836692480,Neutral,23
424209654219284480,Neutral,23
424209894691336194,Negative,23
424210299617427456,Positive,23
424210375853494272,Neutral,33
424210694708264960,Negative,33
424211028805967872,Negative,23
424211521238220800,Negative,7
424212263990341632,Negative,23
424212794553016320,Neutral,23
424213071444189184,Neutral,23
424213194551226368,Neutral,33
424213396926394368,Neutral,23
424213588254154752,Neutral,33
424213588254154752,Neutral,33
424213737437155329,Positive,33
424214131676557312,Negative,7
424214286714826752,Negative,7
424214286714826752,Positive,33
424214997825490944,Neutral,23
424215083527331840,Neutral,33
424215083527331840,Neutral,23
424215419512041472,Neutral,23
424215521677303808,Neutral,23
424215861969186816,Negative,33
424216041938771968,Negative,33
424217140989022208,Positive,33
424217140989022208,Positive,7
424217597606113280,Negative,23
424217597606113280,Negative,33
424218196888289280,Positive,23
424218472617627648,Negative,23
424218612837015552,Neutral,23
424218984171724802,Neutral,23
424219084796870656,Neutral,33
424219294356885504,Neutral,33
424219397289676800,Negative,23
424219941907472385,Neutral,7
424220264680140800,Positive,7
424220833457131520,Negative,23
424221045974126592,Neutral,23
424221142845755393,Positive,23
424221373477568512,Positive,23
424221373477568512,Negative,33
424221871102386176,Neutral,23
424222511602343936,Negative,33
424222717710450688,Negative,33
424222717710450688,Neutral,33
424223529114939392,Negative,23
424224594820861952,Positive,7
424225041287766017,Negative,7
424225502048825344,Negative,23
424226071173537792,Negative,23
424226469930618880,Neutral,23
424226656191258624,Neutral,23
424227129589387264,Neutral,23
424227229199904768,Negative,33
424228089694928896,Negative,33
424229345906135040,Positive,7
424229345906135040,Positive,33
424229599006818304,Neutral,7
424230726079229953,Neutral,23
424231239491813376,Neutral,23
424231769039462401,Neutral,23
424232099554402304,Neutral,33
424232675629477888,Neutral,33
424233675081781249,Neutral,33
424233871043870721,Neutral,7
424234017547112448,Positive,23
424234184534945792,Neutral,23
424234724060454912,Neutral,23
424235039501471744,Negative,33
424235039501471744,Negative,33
424235188206329857,Neutral,33
424235590758854656,Neutral,23
424235732178575360,Positive,7
424235935224455168,Negative,23
424236482573111297,Negative,23
424236683312103424,Neutral,23
424237008441970688,Neutral,23
424237268489220096,Neutral,33
424237488136536064,Negative,33
424237754075975680,Negative,33
424238613614694400,Neutral,33
424238854745624576,Neutral,7
424238910483746816,Neutral,23
424239336788594688,Neutral,23
424239654435827712,Negative,23
424239654435827712,Positive,33
424239893704105984,Negative,23
424240088080736256,Negative,33
424240159484157952,Negative,33
424240502524112896,Negative,7
424240699794784256,Neutral,23
424241016137613313,Neutral,23
424241367057846272,Neutral,23
424241561090932736,Positive,23
424241646629552128,Positive,33
424241893476933632,Positive,33
